Spalte1,Systemnummer,MMS-ID,Volltext,Barcode,VerfasserIn ; GND-ID,VerfasserIn Geschlecht,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere VerfasserInnen ; GND-ID,Weitere VerfasserInnen Geschlecht,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC11678752,AC11678752,"9,90045207030603E+017",http://data.onb.ac.at/ABO/%2BZ171452202,Z171452202,"Burckhardt, Johann Ludwig ; http://d-nb.info/gnd/118702203",m,Travels in Nubia ; http://viaf.org/viaf/175151051890433530009,,<<Johann Ludwig Burckhard's>> Reisen in Nubien und Arabien $ Aus dem Englischen. (Aus dem Ethnographischen Archiv besonders abgedruckt) $ Herausgegeben durch die Gesellschaft zur Beförderung der Entdeckungen im Jnnern von Africa,,,Jena,Jena ; http://d-nb.info/gnd/4028557-1,,in der Bran'schen Buchhandlung,Bran'sche Buchhandlung ; http://d-nb.info/gnd/1046013777,,1820,1820,"2 ungezählte Seiten, 454 Seiten",,,,8°,Kein illustrierender Inhalt. - Fußnoten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,,Reisebericht,,,Forschungsreise ; Niltal ; Ägypten ; Nubien ; Arabien ; Geschichte 1813-1814 ; Osmanisches Reich ; Orient,TravelogueD19 Afrika Asien ; TravelogueD19 Orient,,277674-B MAG,ZFID,
AC06481705,AC06481705,"9,90045759970603E+017",http://data.onb.ac.at/ABO/%2BZ173024402,Z173024402,"Dallaway, James ; http://d-nb.info/gnd/127696970",m,"Constantinople ancient and modern, with excursions to the shores and islands of the Archipelago, and to the Troad",Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Achter Band,"<<James Dallaway's>> Reise nach Constantinopel, der Ebene von Troja, und in die Levante $ Aus dem Englischen übersetzt. Mit 1 Karte und 4 Kupfern",,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1801,1801,"2 ungezählte Seiten, 332 Seiten, 1 ungezähltes gefaltetes Blatt Karte, 4 ungezählte Blätter Bildtafeln","4 Illustrationen, 1 Karte",4,1,8°,"Die Illustrationen sind 4 Kupferstich-Illustrationen (gestochen von Joseph Gerstner), 1 Kupferstich-Karte. - Fußnoten","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0272 ; Bibliografie Reiseliteratur Eutin. - Gemäß BRE Verlagsort Wien",Seite i-iv: Vorrede des Übersetzers (Anonym),,ger,eng,Aus dem Englischen übersetzt,,,,,,,,"Gerstner, Joseph ; http://d-nb.info/gnd/129767727",,,Reisebericht,,,Reise ; Konstantinopel ; Anatolien ; Geschichte 1794/1795 ; Osmanisches Reich,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,278433-B MAG,ZFID,
AC09799338,AC09799338,"9,90029543720603E+017",http://data.onb.ac.at/ABO/%2BZ255408400;,Z255408400;,"Damberger, Christian Friedrich ; http://d-nb.info/gnd/120536013",m,,,"Lebensgeschichte und Beschreibung der Reisen durch Asien, Afrika und Amerika des Zacharias Taurinius, eines geborenen Aegypters $ Nebst einer Vertheidigung gegen die wider ihn gemachten Ausfälle vorzüglich in Rücksicht der unter dem Nahmen Damberger von ihm herausgegebenen Landreise durch Afrika. Zwey Theile",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,bey Anton Doll,"Doll, Anton ; http://d-nb.info/gnd/13282261X",,1804,1804,"VI Seiten, 427 Seiten, 1 ungezählte Seite, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,Die Illustration ist 1 Kupferstich-Porträt (gestochen von Rahl). - Zierleisten im Text,Bibliografischer Nachweis:,"Seite [III]-VI: Vorbericht des Bearbeiters Christian Friedrich Damberger, Datum Prag 20.05.1803",,ger,,,,,,,,,,,,,Erlebnisbericht ; Reisebericht,,,"Reise ; Taurinius, Zacharias",TravelogueD19 Europa Afrika ; TravelogueD19 Orient,,290406-B MAG .- 266768-A MAG,ZKAR ; ZFID,
,,,http://data.onb.ac.at/ABO/%2BZ161227000,Z161227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC13290218,AC13290218,"9,90057721160603E+017",http://data.onb.ac.at/ABO/%2BZ258872802,Z258872802,"Denon, Vivant ; http://d-nb.info/gnd/118671499",m,"Voyage dans la Basse et la Haute Egypte, pendant les campagnes du Général Bonaparte ; 1802",Magazin von merkwürdigen neuen Reisebeschreibungen ; Fünf und zwanzigster Band = Neues Magazin von merkwürdigen Reisebeschreibungen ; Erster Band,"<<Vivant Denon's>> Reise in Nieder= und Ober=Aegypten, während der Feldzüge des Generals Bonaparte $ Aus dem Französischen übersetzt und mit einigen Anmerkungen begleitet von Dieterich Tiedemann",,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Vossischen Buchhandlung,Vossische Buchhandlung ; (DE-588)64386-5,,1803,1803,"4 ungezählte Seiten, XVIII, 376 Seiten, 4 ungezählte gefaltete Blätter Bildtafeln, 4 ungezählte Blätter Bildtafeln",8 Illustrationen,8,,8°,"Die Illustrationen sind 8 Kupferstich-Illustrationen (gestochen von Johann Daniel Laurenz, Gottfried Arnold Lehmann, Eberhard Siegfried Henne, Meno Haas)",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Auch mit dem Gesamtitel: Neues Magazin von merkwürdigen Reisebeschreibungen ; 1,Seite [III]-VIII: Vorrede des Übersetzers. - Seite [IX]-XVIII: Vorrede des Verfassers,,ger,fre,Aus dem Französischen übersetzt,,,,,"Tiedemann, Dieterich ; http://d-nb.info/gnd/117376280",,,"Laurenz, Johann Daniel ; http://d-nb.info/gnd/131447416 .- Lehmann, Gottfried Arnold ; http://d-nb.info/gnd/136595944 .- Henne, Eberhard Siegfried ; http://d-nb.info/gnd/131600729 .- Haas, Meno ; http://d-nb.info/gnd/122996399",,,Reisebericht,,,Ägypten ; Reisebericht 1798-1801 ; Feldzug ; Ägypten ; Napoleon ; Geschichte 1798-1799,TravelogueD19 Orient ; TravelogueD19 Afrika,,393869-B MAG,ZKAR,
AC04003236,AC04003236,"9,95872207560333E+015",http://data.onb.ac.at/ABO/%2BZ202513701,Z202513701,"Denon, Vivant ; http://d-nb.info/gnd/118671499",m,"Voyage dans la Basse et la Haute Egypte, pendant les campagnes du Général Bonaparte ; 1802",,"Reisen durch Ober= und Unter=Egypten weährend Bonaparte's Feldzügen $ Von Vivant Denon, Generaldirektor der National=Musäen in Paris. Aus dem Französischen übersetzt. Mit 8 Kupfern und 1 Karte",,,Berlin und Hamburg,Berlin ; http://d-nb.info/gnd/4005728-8 .- Hamburg ; http://d-nb.info/gnd/4023118-5,,,,,1803,1803,"4 ungezählte Seiten, 460 Seiten, 4 ungezählte Seiten, 1 ungezähltes gefaltetes Blatt Karte","8 Illustrationen, 1 Kart",8,,8°,"Die Illustrationen sind 8 Kupferstich-Illustrationen (gestochen von J. Blaschke, Gerstner, A. Berka), 1 Kupferstich-Karte. - Zierleisten im Text ; Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Auch als Teil der Reihe ""Archiv der neuesten und interessantesten Reisebeschreibungen"" erschienen ; Die vorliegende Übersetzung ist ein Auszug der französischen Originalausgabe in 2 Bänden",Ungezählte Seite 3-4: Vorbericht,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,"Gerstner, Joseph ; http://d-nb.info/gnd/129767727 .- Berka, A. .- Blaschke, János ; http://d-nb.info/gnd/116200170",,,Reisebericht,,,Feldzug ; Ägypten ; Napoleon ; Geschichte 1798-1799,TravelogueD19 Afrika ; TravelogueD19 Orient,,224092-B MAG,ZALT,
AC03215803,AC03215803,"9,95854498030333E+015",http://data.onb.ac.at/ABO/%2BZ160975008,Z160975008,"Engelhardt, Moritz <<von>> ; http://d-nb.info/gnd/100827365",m,Reise in die Krym und den Kaukasus,,"Reise in die Krym und den Kaukasus $ Mit Kupfern und Karten $ von Moritz von Engelhardt und Friedrich Parrot, Doct. med.",Zweiter Theil,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Realschulbuchhandlung,Realschulbuchhandlung ; http://d-nb.info/gnd/6146071-0,,1815,1815,"4 ungezählte Seiten, 204 Seiten, 3 ungezählte gefaltete Blätter",,,,8°,Kein illustrierender Inhalt. - 3 Tabellen ; Fußnoten ; Einfache Zierleisten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,,,"Parrot, Friedrich <<von>> ; 100240445",m,,,,,,,,Reisebericht,,,Forschungsreise ; Krim ; Kaukasus ; Geschichte 1811 ; Geologie ; Botanik,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,25.X.45.(Vol.2) PRUNK,ZALT,
AC03215799,AC03215799,"9,95854498050333E+015",http://data.onb.ac.at/ABO/%2BZ160975100,Z160975100,"Engelhardt, Moritz <<von>> ; http://d-nb.info/gnd/100827365",m,Reise in die Krym und den Kaukasus,,"Reise in die Krym und den Kaukasus $ Mit Kufpern und Karten $ von Moritz von Engelhardt und Friedrich Parrot, Doct. med.",Erster Theil,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Realschulbuchhandlung,Realschulbuchhandlung ; http://d-nb.info/gnd/6146071-0,,1815,1815,"XVI, 264 Seiten, VI, das heißt 7 gefaltete Blätter, 1 ungezähltes gefaltetes Blatt","3 Karten, 4 Illustrationen",4,3,8°,"2 Kupferstich-Illustrationen, 2 Kupferstich-Pläne, 3 Kufperstich-Karten. - Fußnoten ; Einfache Zierleisten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,,,ger,,,,"Parrot, Friedrich <<von>> ; 100240445",m,,,,,"Thiele, Karl Friedrich ; http://d-nb.info/gnd/141046406",,,Reisebericht,,,Forschungsreise ; Krim ; Kaukasus ; Geschichte 1811 ; Geologie ; Botanik,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,25.X.45.(Vol.1) PRUNK,ZALT,
AC09845483,AC09845483,"9,90030015850603E+017",http://data.onb.ac.at/ABO/%2BZ13724150X,Z13724150X,"Eton, William ; http://d-nb.info/gnd/136265510",m,<<A>> Survey of the Turkish Empire ; 1798,,"<<W. Eton's Esqs. englischen vieljährigen Residentens in der Türkei und in Rußland>> Schilderung des türkischen Reiches in politischer, moralischer, historischer, religiöser, wissenschaftl., statistischer, merkantilischer u. s. w. Hinsicht $ Nach der dritten Ausgabe aus dem Englischen mit Anmerkungen übersezt von dem Dr. Bergk. Mit sechs illum. Kupfertafeln",,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,Leipzig ; http://d-nb.info/gnd/4035206-7,bei Rein und Compagnie,Wilhelm Rein & Comp. ; http://d-nb.info/gnd/1073008118,Wilhelm Rein & Comp. ; http://d-nb.info/gnd/1073008118,1805,1805,"XVI, 448 Seiten, 6 ungezählte Blätter Bildtafeln",6 Illustrationen,6,,8°,Die Illustrationen sind 6 Kupferstich-Illustrationen. - Fußnoten,"Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0319","Seite [III]-X: Vorrede des Übersetzers Johann Adam Bergk, Datum Leipzig 31.07.1805",,ger,eng,Aus dem Englischen übersetzt,,,,,"Bergk, Johann Adam ; http://d-nb.info/gnd/116132655",,,,,,,,,Osmanisches Reich ; Landeskunde,TravelogueD19 Asien Europa Afrika ; TravelogueD19 Orient,,2.X.5 PRUNK,ZALT,
AC15385381,AC15385381,"9,95855416340333E+015",http://data.onb.ac.at/ABO/%2BZ160619502,Z160619502,"Forster, George ; http://d-nb.info/gnd/121241033",m,"Journey from Bengal to England through the Northern part of India, Kashmire, Afghanistan, and Persia and into Russia, by the Caspian sea ; 1790",,"Reise aus Bengalen nach England, $ durch die nördlichen Theile von Hindostand, durch Kaschemir, Afghanistan, Persien und Rußland $ Von Georg Forster, vormals in Civil=Diensten der Englischen Ostindischen Compagnie. Aus dem Englischen übersezt, und mit Anmerkungen begleitet von C. Meiners, Königl. Großbritannischem Hofrath, und ordentlichem Lehrer der Weltweisheit in Göttingen",Zweyter Theil,,Zürich,Zürich ; http://d-nb.info/gnd/4068038-1,Zürich ; http://d-nb.info/gnd/4068038-1,"bey  Orell, Füßli und Compagnie",Orell Füssli & Co. ; http://d-nb.info/gnd/10193677-1,Orell Füssli & Co. ; http://d-nb.info/gnd/10193677-1,1800,1800,"301 Seiten, 2 ungezählte Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte",1 Karte,,1,8°,Die Illustration ist 1 Kupferstich-Karte. - Fußnoten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite 3-12: Vorrede zur deutsche Übersetzung von C. Meiners, datum Göttingen 10.09.1799",,ger,eng,Aus dem Englischen übersetzt,,,,"Meiners, Christoph ; http://d-nb.info/gnd/116863498","Meiners, Christoph ; http://d-nb.info/gnd/116863498",,,,,,Briefsammlung ; Reisebericht,,,England ; Reise ; Iran ; Russland ; Geschichte 1782-1783 ; Indien ; Kaschmir,TravelogueD19 Asien ; TravelogueD19 Orient,,24.Y.34.(Vol.2) PRUNK,ZALT,
AC09874837,AC09874837,"9,90030315760603E+017",http://data.onb.ac.at/ABO/%2BZ221152009,Z221152009,"Freygang, Wilhelm <<von>> ; http://d-nb.info/gnd/100831443",m,Lettres sur le Caucase et la Géorgie. Suivies d'une relation d'un voyage en Perse en 1812 ; http://viaf.org/viaf/7231157884816660620006,,"<<Wilhelm von Freygangs, Rußisch=Kaiserl. Hofraths und Legations=Sekretairs bei Sr. Majestät dem Könige der Niederlande, Ritter des St. Annen=Ordens 2ter, und des St. Waldimir=Ordens 4ter Klasse, Doctor der Philosophie, der Königl. Societät der Wissenschaften zu Göttingen, und meherer anderer gelehrten Gesellschaften Mitglied,>> Briefe über den Kaukasus und Georgien, nebst angehängtem Reisebericht über Persien vom Jahre 1812. Aus dem Französischen übersetzt von Heinrich von Struve, Kaiserl Rußisch. Geschäftsträger und General=Consul bei der freien Hansestadt Hamburg, Kollegien=Rath, Ritter des St. Annen=Ordens 2ter, und des St. Wladimir=Ordens 4ter Klasse, correspondirendes Mitglied der Kaiserl. Rußischen Academie der Wissenschaften, Mitglied der Königl. Societät der Wissenschaften zu Göttingen, der Halleschen Naturforschenden, der Jenaer Mineralogischen, der Regensburger botanischen, der Wetterauschen Gesellschaft für die gesammte Naturkunde etc. Mit 4 Vignetten und 2 Charten",,,Hamburg,Hamburg ; http://d-nb.info/gnd/4023118-5,,bei Perthes und Besser,Perthes & Besser ; http://d-nb.info/gnd/1051688760,,1817,1817,"VI Seiten, 2 ungezählte Seiten, 329 Seiten, 1 ungezählte Seite, 2 ungezählte mehrfach gefaltete Blätter","3 Illustrationen, 2 Karten",3,2,8°,"Die Illustrationen sind 3 Kupferstich-Illustrationen als Vignetten (gestochen von J. Bendixen und de la Rode), 1 Kupferstich-Karte (gezeichnet von E. F. Bernhardt, gestochen von Tischbein), 1 lavierter Kupferstich (gezeichnet von E. F. Bernhardt, gestochen von C. Jättnig junior, laviert von Carl More). - Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 145",,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,"Bendixen, J. .- Jättnig, Karl ; http://d-nb.info/gnd/131710796",,,Reisebericht,,,Forschungsreise ; Kaukasus ; Georgien ; Iran ; Geschichte 1812,TravelogueD19 Asien ; TravelogueD19 Orient,,698681-B MAG,ZALT,
AC09883827,AC09883827,"9,90030407210603E+017",http://data.onb.ac.at/ABO/%2BZ124902206,Z124902206,"Galland, Antoine ; http://d-nb.info/gnd/100138209",m,Tableau d l'Egypte ; 1803-1804,,"Reise nach Aegypten $ und Bemerkungen über verschiedene Gegenstände während des 3-jährigen Aufenthalts der Französischen Armee in diesem Lande (1798 bis 1801) $ gesammelt von A. S .....d, vormal. Mitgliede der Kommission der Künste und Wissenschaften zu Kahira. Aus dem Französishen. Mit einer Einleitung, Anmerkungen und Zusätzen herausgegeben von Theophil Friedrich Ehrmann. Mit einer Charte",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des F. S. privl. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1804,1804,"LXII, 604 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,8°,"1 Kupferstich-Karte (""Special=Charte von Nieder-Aegypten nach den astronomischen Ortsbestimmungen des B. Nouet"", Datum Weimar 1803). - Zierleisten ; Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 169 ; Heinsius III, 342 ; Holzmann-Bohatta III, 342. - Anonym erschienen, Verfasser ermittelt nach Holzmann-Bohatta",Seite [III]-VI: Vorwort des Übersetzers und Herausgebers T. F. Ehrmann,,ger,fre,Aus dem Französischen übersetzt,,,,"Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337","Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337",,,,,,,,,Ägypten ; Geschichte 1798-1801 ; Reise,TravelogueD19 Orient ; TravelogueD19 Afrika,,251141-B MAG,ZFID,
AC04833199,AC04833199,"9,90008438780603E+017",http://data.onb.ac.at/ABO/%2BZ43139608,Z43139608,"Grandpré, Louis <<de>> ; http://d-nb.info/gnd/11755345X",m,"Voyage dans l'Indie et au Bengale, fait dans les années 1789 et 1790",Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Fünfzehnter Band .- Archiv der neuesten und interessantesten Reisebeschreibungen ; Dritter Band,"Reise nach Jndien und Arabien in den Jahren 1789 und 1790 $ unternommen von B. Degrandpré, Französischem Marine=Offizier. Aus dem Französischen übersetzt. Mit 2 Kupfern und 1 Karte",,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1803,1803,"8 ungezählte Seiten, 326 Seiten, 2 ungezählte Seiten, 1 mehrfach gefaltetes Blatt Karte, 2 ungezählte Blätter Bildtafeln","2 Illustrationen, 1 Karte",2,1,8°,"2 Kupferstich-llustrationen, 1 Kufperstich-Karte. - Einfache Zierleisten ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Verlagsort gemäß BRE Wien,Am Ende 2 ungezählte Seiten Verlagsprogramm,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,,Reisebericht,,,Indien ; Reise ; Arabien ; Geschichte 1789-1790,TravelogueD19 Orient ; TravelogueD19 Asien,,303778-B.15 MAG .- UNASSIGNED .- UNASSIGNED,ZKAR ; ZKAR ; ZKAR,
AC09922282,AC09922282,"9,90030801720603E+017",http://data.onb.ac.at/ABO/%2BZ176273000,Z176273000,"Gugomos, Gottlieb Franz Xaver <<von>> ; http://d-nb.info/gnd/1019470771",m,,,"Reise von Bucharest, der Hauptstadt in der Wallachei, über Giurgewo, Rustschuk, durch Oberbulgarien. bis gegen die Gränzen von Rumelien, und dann durch Unterbulgarien über Silistria wieder zurück, im Jahre 1789 $ Herausgegeben zur Kenntniss der Gegenden des wirklichen Kriegsschauplatzes der Russen und Türken an den beiden Ufern der untern Donau; nebst Berichtigung der verschiedenen Meinungen über die Politik, die Sitten, den Karakter und die militairische Organisation der Muselmänner, und einem durch Thaten des Krieges vom Jahre 1789 auf den Ausgang des wirklichen Krieges hindeutenden Anhange. Ein Fragment aus den militairisch-politischen Aufsätzen des königl. baierschen Major à la Suite und Kammerherrn von Gugomos. Mit einem Titelkupfer und Originalplan der Schlacht bei Foczan in der Wallachei; nebst einem besonders detaillirten Plan dieser Schlacht, zur nähern Einsicht, wie gegen die Türken manoeuverirt werde",,,Landshut,Landshut ; http://d-nb.info/gnd/4034367-4,Landshut ; http://d-nb.info/gnd/4034367-4,gedrukt bei Joseph Thomann,"Thomann, Joseph ; http://d-nb.info/gnd/1037550196","Thomann, Joseph ; http://d-nb.info/gnd/1037550196",1812,1812,"22 ungezählte Seiten, XVI, 167 Seiten, 1 ungezählte Seite, 1 ungezähltes Blatt Bildtafel, 2 ungezählte gefaltete Blätter","2 Illustrationen, 1 Karte",2,1,8°,"Die Illustrationen sind 1 Kupferstich-illustration als Frontispiz, 1 gestochene Karte (gestochen und signiert von J. Seitz), 1 Plan","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0384",Seit XXII: Subskribentenliste,,ger,,,,,,,,,,"Seitz, Joseph ; http://d-nb.info/gnd/1031188398",,,Reisebericht,,,Bulgarien ; Norden ; Reise ; Geschichte 1789 ; Osmanisches Reich,TravelogueD19 Europa ; TravelogueD19 Orient,,37.X.30 PRUNK,ZALT,
AC10809709,AC10809709,"9,90043286790603E+017",http://data.onb.ac.at/ABO/%2BZ105559507,Z105559507,"Hacquet, Balthasar ; http://d-nb.info/gnd/118699970",m,,,"Abbildung und Beschreibung der südwest- und östlichen Wenden, Illyrer und Slaven $ deren geographische Ausbreitung von dem adriatischen Meere bis an den Ponto, deren Sitten, Gebräuche, Handthierung, Gewerbe, Religion u.s.w. nach einer zehnjährigen Reise und vierzigjährigem Aufenthalte in jenen Gegenden $ dargestellt von B. Hacquet, der Weltweisheit und gesamten Arzneigelahrheit Doctor, kaiserlich-königlichem Bergrath, ordentlichem Lehrer der Naturkunde an der Josephinischen Schule in Ost-Galizien, ehemalige beständigem Secretair und Lehrer der technischen Chemie, beider königlichen Gesellschaften des Ackerbaues und nützlichen Künste in Herzogthum Krain Mitglied, dieser, wie auch der kaiserlichen Gesellschaft der Naturforscher im teutschen Reiche, der königl. grossbritannischen Wissenschaften zu Göttingen; der königlichen preussischen zu Frankfurt an der Oder; der churfürstlichen mainzischen zu Erfurt; der sächsisch-ökonomischen zu Leipzig; der grossherzoglich toscanisch-botanisch- und ökonomischen zu Florenz; der naturforschenden Freunde zu Berlin und Halle; der ökonomischen zu Chambery",Erster Theil Erstes-[Fünftes] Heft,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,Leipzig ; http://d-nb.info/gnd/4035206-7,im Industrie-Comptoir,Industrie-Comptoir in Leipzig ; http://d-nb.info/gnd/5325582-3,Industrie-Comptoir in Leipzig ; http://d-nb.info/gnd/5325582-3,12.Merz 1801[-1808],1801,"XII Seiten, 2 ungezählte Seite, 246 Seiten, 2 ungezählte Seiten, 38 ungezählte Blätter","36 Illustrationen, 2 Notenbeispiele",36,,4°,"Die Illustrationen sind 36 kolorierte Kupferstiche, 2 Notenbeispiele. - Fußnoten ; Zierleisten",Bibliografischer Nachweis:,"Seite [III]-VI: Widmungsvorrede des Verfassers an Franz I., Kaiser von Österreich. - Seite VII-XII: Vorrede des Verfassers, Datum Lemberg 12.03.1801. - Am Ende 2 ungezählte Seiten Verlagsanzeige","Hefte bis 1808 geliefert, letzte Angabe in den Verlagsprogrammen: Ostern 1808",ger,,,,,,,,,,,"Hacquet, Balthasar ; http://d-nb.info/gnd/118699970",Franz ; http://d-nb.info/gnd/118534955,,,,Illyrer ; Slawen ; Wenden,TravelogueD19 Orient ; TravelogueD19 Europa,,273871-C.1 MAG .- 42.V.5 PRUNK,ZFID ; ZALT,
AC08110479,AC08110479,"9,95858407950333E+015",http://data.onb.ac.at/ABO/%2BZ221242308;,Z221242308;,"Hammer-Purgstall, Joseph <<von>> ; http://d-nb.info/gnd/118545426",m,,,Topographische Ansichten $ Gesammelt Auf Einer Reise In Die Levante ; Mit Kupfern Und Karten $ Von Joseph Von Hammer,,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Bey Carl Schaumburg Und Comp.,Schaumburg & Comp. ; http://d-nb.info/gnd/1073014444,,1811,1811,"4 ungezählte Seiten, VIII, 190 Seiten, 8 ungezählte Doppelblätter Bildtafeln, 4 ungezählte Blätter Bildtafeln","10 Illustrationen, 2 Karten",10,2,4°,"Die Illustrationen sind 1 Kupferstich-Illustration (gestochen und signiert von J. Gerstner) als Frontispiz, 2 Kupferstich-Karten (gestochen und signiert von J. Gerstner und Renard), 7 Kufperstich-Illustrationen (gestochen und signiert von J. Gerstner), 2 Kupferstich-Pläne. - Fußnoten",Bibliografischer Nachweis:,"Ungezählte Seite 3-Seite [II]: Widmung des Verfassers an Franz I., Kaiser von Österreich. - Seite [III]-VIII:Vorrede des Verfassers",,ger,,,,,,,,,,"Gerstner, Joseph ; http://d-nb.info/gnd/129767727 .- Renard, Johann ; http://d-nb.info/gnd/123570115",,,Reisebericht,,,Levante ; Reise ; Griechenland ; Naher Osten ; Zypern ; Ägäis-Gebiet ; Geschichte 1810 circa ; Osmanisches Reich,TravelogueD19 Europa Asien ; TravelogueD19 Orient,,10.Mm.13 PRUNK .- 264576-B MAG,ZALT ; ZFID,
,,,http://data.onb.ac.at/ABO/%2BZ116214305,Z116214305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC09931692,AC09931692,"9,90030897740603E+017",http://data.onb.ac.at/ABO/%2BZ224516808,Z224516808,"Hammer-Purgstall, Joseph <<von>> ; http://d-nb.info/gnd/118545426",m,,,"Umblick Auf Einer Reise Von Constantinopel Nach Brussa Und Dem Olympos, Und Von Da Zurück Über Nicäa Und Nicomedien $ Mit Kupfern, Karten und Inschriften $ Von Joseph v. Hammer",,,Pesth,Wien ; http://d-nb.info/gnd/4066009-6 .- Budapest ; http://d-nb.info/gnd/4008684-7,Wien ; http://d-nb.info/gnd/4066009-6,Bey Adolph Hartleben ; gedruckt bey Anton Strauss,"Hartleben, Adolf <<von>> ; http://d-nb.info/gnd/137081952","Strauß, Anton ; http://d-nb.info/gnd/139477810",1818 ; 1818,1818,"2 ungezählte Seiten, X, 200 Seiten, 3 ungezählte mehrfach gefaltete Blätter Bildtafeln","1 Illustration, 2 Karten",1,2,4°,"1 gestochener Plan, 2 gestochene Karten (1. Plan Der Stadt Brussa, Und Des Olymps ; 2. Plan von Brussa Und Der Gegend Zwischen Den Zwey Meerbusen Von Nicomemdie Und Modania)","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 993",Seite [I]-[IV]: Widmung des Verfassers an Caroline Augusta von Österreich. - Seite [VII]-X: Vorrede des Verfassers,,ger,,,,,,,,,,,,Karolina Augusta ; http://d-nb.info/gnd/119189747,Reisebericht,,,Provinz Bursa ; Reise ; Geschichte 1804 ; Quelle ; Osmanisches Reich ; Reisebericht 1804,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,13.F.25 PRUNK,ZALT,
