Spalte1,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC02314599,AC02314599,990002438360603338,http://data.onb.ac.at/ABO/%2BZ158154403,Z158154403,"Matthisson, Friedrich <<von>> ; http://d-nb.info/gnd/118731890",Werke,,Friedrich von Matthissons sämmtliche Werke,Siebenter Band ; Erinnerungen ; Fünfter Theil,Neueste Ausgabe,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Jm Verlage der Franz Härter'schen Buchhandlung,"Härtersche Buchhandlung, Wien",,1817,1817,"4 ungezählte Seiten, 254 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,Die Illustration ist eine Kupferstichillustration als Frontispiz (gestochen von J. Blaschke),,,,ger,,,,,,,,,"Blaschke, János ; http://d-nb.info/gnd/116200170",,,Reisebericht,,,Reise ; Italien ; Geschichte 1796 ; Reise ; Schweiz ; Italien ; Tirol ; Geschichte 1799 ; Reise ; Wörlitz ; Geschichte 1805 ; Reise ; Wörlitz ; Geschichte 1806 ; Reise ; Wörlitz ; Geschichte 1807 ; Reise ; Süddeutschland ; Schweiz ; Oberitalien ; Mailand ; Geschichte 1813,TravelogueD19 Europa,,7.Y.43.(Vol.7) PRUNK .- 262772-B.7 MAG,ZALT ; ZFID,
AC01250549,AC01250549,990002529950603338,http://data.onb.ac.at/ABO/%2BZ15261107,Z15261107,"Pureberl, Georg ; http://d-nb.info/gnd/1097271862",,,<<Die>> Reise nach Neumarkt nächst Salzburg $ den Freunden Thannberg's gewidmet $ von Georg Pureberl,,,Salzburg,Salzburg ; http://d-nb.info/gnd/4076982-3,Salzburg ; http://d-nb.info/gnd/4076982-3,gedruckt bey Franz Xaver Duyle,"Duyle, Franz Xaver ; http://d-nb.info/gnd/1037501128","Duyle, Franz Xaver ; http://d-nb.info/gnd/1037501128",[1813],1813,"1 ungzähltes Blatt Bildtafel, 110 Seiten",1 Illustration,1,,8°,Die Illustration ist 1 Kupferstich-Illustration als Frontispiz,"Bibliografischer Nachweis: Engelmann, 701 ; Bibliografie Reisebericht Eutin",,,ger,,,,,,,,,,,,,,,Reise ; Neumarkt am Wallersee ; Geschichte 1813 circa,TravelogueD19 Europa,,303035-A MAG,ZALT,
AC01520496,AC01520496,990002582500603338,http://data.onb.ac.at/ABO/%2BZ21336708,Z21336708,"Pictet, Marc-Auguste ; http://d-nb.info/gnd/11948496X","Voyage de trois mois en Angleterre, en Ecosse et en Irlande ; Genf 1802",,"Reise durch England, Schottland und Jrland $ während des Sommers 1801 unternommen $ von Mark August Pictet ; Frey aus dem Französischen übersetzt",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Jm Verlage bey Anton Doll,"Doll, Anton ; http://d-nb.info/gnd/13282261X",,1804,1804,"1 ungezähltes Blatt Bildtafel, VIII, 9-224 Seiten, 1 ungezähltes gefaltetes Blatt Karte","1 Illustration, 1 Karte",1,1,8°,"1 Kupferstich-Illustration als Frontispitz, 1 Kupferstich-Karte. - Zierleisten ; Fußnoten","Bibliografischer Nachweis: Fromm 20175 ; Bibliografie Reiseliteratur Eutin ;  Engelmann, 373 (F)",Seite [III]-IV: Vorrede des Herausgeber. - Seite [VII]-VIII: Vorrede des Verfassers,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht ; Briefsammlung,,,Großbritannien ; Geschichte 1801 ; Reise,TravelogueD19 Europa,,303687-A MAG,ZKAR,
AC01901348,AC01901348,990002663400603338,http://data.onb.ac.at/ABO/%2BZ25846201,Z25846201,,,,"Reise auf der Donau von Ulm bis Wien $ mit Angabe aller Städte, Flecken, Dörfer, Schlösser etc. an beyden Ufern, ihrer vornehmsten Merkwürdigkeiten, und der Flüsse, welche sich mit der Donau vereinigen",,,Nördlingen,Nördlingen ; http://d-nb.info/gnd/4042434-0,,in der Beck'schen Buchhandlung,C.-H.-Beck'sche Buchhandlung ; http://d-nb.info/gnd/2067044-8,,1813,1813,95 Seiten,,,,,Kein illustrierender Inhalt. - Zierleisten im Text,"Anonym erschienen, Verfasser nicht ermittelt",Die Seitenzählung beginnt bei Seite 8,,ger,,,,,,,,,,,,Reisebericht,,,Österreich ; Donautal ; Reisebericht 1813,TravelogueD19 Europa,,303984-A MAG,ZKAR,
AC02038133,AC02038133,990002845850603338,http://data.onb.ac.at/ABO/%2BZ24601002,Z24601002,,,,"Merkwürdige Reisebeschreibung Jhrer Majestät der Kaiserin von Frankreich, Marien Louisens, von Wien bis nach Paris, $ worinn alle Feyerlichkeiten, Ehrenbezeugungen, Beleuchtungen, Sinngedichte und kurze Anreden, welche auf dieser Reise in den vorzüglichsten Städten gehalten wurden, dem Leser dargestellet werden",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Gedruckt mit Mausbergerschen Schriften,"Mausberger, Ludwig ; http://d-nb.info/gnd/1037653165","Mausberger, Ludwig ; http://d-nb.info/gnd/1037653165",1810,1810,24 Seiten,,,,,,,,,ger,,,,,,,,,,,,,,,Marie Louise ; Paris ; Reise ; Geschichte 1810 ; Quelle ; Marie Louise ; Reisebericht 1810,TravelogueD19 Europa,,MF 6376 MIK .- 304188-A MAG,ZNEU ; ZALT,
AC01738485,AC01738485,990003041460603338,http://data.onb.ac.at/ABO/%2BZ25806409,Z25806409,"Turner, Samuel ; http://d-nb.info/gnd/129956252",<<An>> account of an embassy to the court of the Teshoo Lama in Tibet ; 1800 ; http://viaf.org/viaf/7543153289943232770004,,<<Samuel Turner's Capitain in Diensten der ostind. Compagnie>> Gesandtschaftsreise an den Hof des Teshoo Lama $ durch Bootan und einen Theil von Tibet. Aus dem Englischen mit einer Karte und mehrern Kupfern,,,Hamburg,Hamburg ; http://d-nb.info/gnd/4023118-5,,bei Benjamin Gottlob Hoffmann,"Hoffmann, Benjamin Gottlob ; http://d-nb.info/gnd/116950781",,1801,1801,"8 ungezählte Seiten, 489 Seiten, 4 ungezählte Seiten, 6 ungezählte gefaltete Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Karte","5 Illustrationen, 1 Karte, 1 Schriftbeispiel",5,1,8°,"Bibliografischer Nachweis: Cordier, Bibl. Sinica BS 2910","Die Illustrationen sind 5 Kupferstich-Illustrationen, 1 Kupferstich-Karte und 1 Kupferstich-Schriftbeispiel. - Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 159 ; Griep, Reiseliteratur und Geographica, 1411. - Auch als Teil der Reihe: ""Neuere Geschichte der See- und Land-Reisen, Band 14""",,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,Reisebericht,,,Tibet ; Bhutan ; Gesandtschaft ; Geschichte 1783,TravelogueD19 Asien,,303916-B MAG,ZKAR,
AC02671446,AC02671446,990003991130603338,http://data.onb.ac.at/ABO/%2BZ27285000,Z27285000,"Genersich, Christian ; http://d-nb.info/gnd/100141226",,,"Reise in die Carpathen mit vorzüglicher Rücksicht auf das Tatra=Gebirge $ Von Christian Genersich, Prediger an der evang. Gemeinde zu Käsmark. Herausgegeben von Samuel Bredetzky",,,Wien und Triest,Wien ; http://d-nb.info/gnd/4066009-6 .- Triest ; http://d-nb.info/gnd/4078411-3,,bey Geistinger,Geistinger'sche Buchhandlung ; http://d-nb.info/gnd/1148147527,,1807,1807,"2 ungezählte Seiten, 238 Seiten, 2 ungezählte Seiten",,,,8°,Kein illustrierender Inhalt. - Zierleisten im Text,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 611","Vorrede des Herausgebers Bredetzky, Datum Krakau 12.02.1806",Literaturangaben,ger,,,,,"Bredetzky, Samuel ; http://d-nb.info/gnd/116469285",,,,,,,Reisebericht,,,Karpaten ; Hohe Tatra ; Reise ; Geschichte,TravelogueD19 Europa,,361926-A MAG,ZKAR,
AC02947188,AC02947188,990004097650603338,http://data.onb.ac.at/ABO/%2BZ35027809,Z35027809,"Saryčev, Gavriil A. ; http://d-nb.info/gnd/172353629","Putešestvie po Severo-Vostočnoj časti Sibiri, Ledovitomu morju i Vostočnomu okeanu ; http://viaf.org/viaf/310395559",,"<<Gawrila Sarytschew's Rußisch=Kaiserlichen Generalmajors von der Flotte>> achtjährige Reise im nordöstlichen Sibirien, auf dem Eismeere und dem nordöstlichen Ozean $ Aus dem Rußischen übersetzt von Johann Heinrich Busse, Rußisch=Kaiserlichem Consistorialrath, Prediger der evangel. lutherischen Katharinengemeinde zu St. Petersburg, Ehrenmitglied der Rußisch=Kaiserl. Academie daselbst und der Königl. Kurfürstl. Societät der Wissenschaften zu Göttingen",Erster Theil ; Mit schwarzen und illuminirten Kupfern,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,bei Wilhelm Rein und Comp.,Wilhelm Rein & Comp. ; http://d-nb.info/gnd/1073008118,,1805,1805,"XXIV, 190 Seiten, 11 ungezählte Blätter Bildtafeln (zum Teil gefaltet)",11 Illustrationen,11,,8°,"1 Kupferstich-Illustration als Frontispiz, 10 Kupferstich-Illustrationen (gestochen von J. J. Wagner). - Fußnoten",Bibliografischer Nachweis:,Seite [III]-VIII: Vorrede des Übersetzers. - Seite IX-XX: Vorbericht des Verfasser,,ger,rus,Aus dem Russischen übersetzt,,,,"Busse, Johann Heinrich ; http://d-nb.info/gnd/117642584",,,"Wagner, Johann Jakob ; http://d-nb.info/gnd/132753553",,,,,,"Sibirien ; Forschungsreise ; Geschichte 1785-1794 ; Saryčev, Gavriil A.",TravelogueD19 Asien Arktis,,361921-B.1 MAG,ZKAR,
AC02947192,AC02947192,990004097660603338,http://data.onb.ac.at/ABO/%2BZ35027901,Z35027901,"Saryčev, Gavriil A. ; http://d-nb.info/gnd/172353629","Putešestvie po Severo-Vostočnoj časti Sibiri, Ledovitomu morju i Vostočnomu okeanu ; http://viaf.org/viaf/310395559",,"<<Gawrila Sarytschew's Rußisch=Kaiserlichen Generalmajors von der Flotte>> achtjährige Reise im nordöstlichen Sibirien, auf dem Eismeere und dem nordöstlichen Ozean $ Aus dem Rußischen übersetzt von Johann Heinrich Busse, Rußisch=Kaiserlichem Consistorialrath, Prediger der evangel. lutherischen Katharinengemeinde zu St. Petersburg, Ehrenmitglied der Rußisch=Kaiserl. Academie daselbst und der Königl. Kurfürstl. Societät der Wissenschaften zu Göttingen",zweiter Theil ; Mit schwarzen und illuminirten Kupfern,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,bei Wilhelm Rein und Comp.,Wilhelm Rein & Comp. ; http://d-nb.info/gnd/1073008118,,1806,1806,"XII Seiten, Seite 195-196, 192 Seiten, 4 ungezählte gefaltete Blätter",3 Illustrationen,3,,8°,"1 Tabelle, 2 Kupferstich-Illustrationen, 1 kolorierte Kupferstich-Illustration",Bibliografischer Nachweis:,Seite [III]-IV: Vorrede des Übersetzers. - Seite 195-196 (Erste Zählung): Nachschrift des Übersetzter,,ger,rus,Aus dem Russischen übersetzt,,,,"Busse, Johann Heinrich ; http://d-nb.info/gnd/117642584",,,,,,,,,"Sibirien ; Forschungsreise ; Geschichte 1785-1794 ; Saryčev, Gavriil A.",TravelogueD19 Asien Arktis,,361921-B.2 MAG,ZKAR,
AC03013450,AC03013450,990004241040603338,http://data.onb.ac.at/ABO/%2BZ35073807,Z35073807,"Estala, Pedro ; 102209677",Viagero universal ; 1798,,"Reisen der Spanier nach der Südsee $ insbesondere nach der Jnsel O=Taheite ; Jetzt zum erstenmal aus dem Spanischen übersetzt $ [Pedro Estala]. Herausgegeben, mit Anmerkungen und mit einer historischen Schilderung der Gesellschafts=Jnseln begleitet von Fr. Wilh. Aug. Bratring ; Mit einer Karte",,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,Berlin ; http://d-nb.info/gnd/4005728-8,bei Friedrich Maurer,"Maurer, Friedrich ; http://d-nb.info/gnd/116854944","Maurer, Friedrich ; http://d-nb.info/gnd/116854944",1802,1802,"XX, 238 Seiten, 1 ungezählte Seite, 1 ungezähltes gefaltetes Blatt Karte","1 Illustration, 1 Karte",1,1,8°,"Die Illustration ist 1 Kupferstich-Illustration, 1 Kupferstich-Karte. - Fußnoten ; Zierleisten","Bibliografischer Nachweis: NUCPre56 162, 524 ; Bibliografie Reiseliteratur Eutin ; Engelmann, 242 ; Holzmann-Bohatta III, 11700","Seite [III]-XIV: Vorrede des Herausgebers, Friedrich Wilhelm August Bratring Berlin 01.11.1801",,ger,spa,Aus dem Spanischen übersetzt,,,"Bratring, Friedrich Wilhelm August ; http://d-nb.info/gnd/116409398",,,,,,,,,,Gesellschaftsinseln ; Entdeckung ; Geschichte ; Spanier ; Entdeckungsreise ; Tahiti ; Geschichte 1772-1774,TravelogueD19 Ozeanien,,361948-B MAG,ZKAR,
AC03118400,AC03118400,990004462960603338,http://data.onb.ac.at/ABO/%2BZ35085007,Z35085007,"Lentin, Jakob Friedrich Ludwig ; http://d-nb.info/gnd/142891819",,,Medizinische Bemerkungen Auf Einer Literärischen Reise Durch Deutschland $ In Briefen $ Von Dr. Jacob Friedrich Ludwig Lentin,,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Bey Heinrich August Rottmann,"Rottmann, Heinrich August ; http://d-nb.info/gnd/11666245X",,1800,1800,"4 ungezählte Seiten, 128 Seiten",,,,8°,Kein illustrierender Inhalt. - Fußnoten,"Bibliografischer Nachweis: GV 87, 38 ; VD18 11149019 ; Bibliografie Reiseliteratur Eutin",Literaturangaben. - Widmungsvorrede an die Braunschweig-Lüneburgische Landesregierung,,ger,,,VD18 11149019,,,,,,,,,Briefsammlung,,,"Deutschland ; Medizinische Ausbildung ; Studienreise ; Geschichte 1798-1799 ; Quelle ; Deutschland ; Krankenhaus ; Medizinische Einrichtung ; Betrieb ; Organisation ; Geschichte 1800 ; Deutschland ; Krankenhaus ; Therapie ; Methode ; Geschichte 1800 ; Wien ; Krankenhaus ; Organisation ; Therapie ; Methode ; Geschichte 1800 ; Allgemeines Krankenhaus der Stadt Wien - Medizinischer Universitätscampus ; Frank, Johann Peter ; Frank, Joseph ; Organisation ; Therapie ; Geschichte 1800 ; Wien ; Brownianismus ; Geschichte 1800",TravelogueD19 Europa,,305563-A MAG .- UNASSIGNED,ZALT ; ZALT,VD18 11149019
AC03263837,AC03263837,990004773860603338,http://data.onb.ac.at/ABO/%2BZ42189100,Z42189100,"Polo, Marco ; http://d-nb.info/gnd/118595563",<<Il>> Milione ; (DE-588)4284152-5,,"<<Marco Paolo's>> Reise in den Orient $ während der Jahre 1272 bis 1795 [!] $ Nach den vorzüglichsten Original=Ausgaben verdeutscht, und mit einem Kommentar begleitet von Felix Peregrin",,,Ronneburg und Leipzig,Ronneburg ; http://d-nb.info/gnd/4297264-4 .- Leipzig ; http://d-nb.info/gnd/4035206-7 .- Eisenberg,Eisenberg,bei August Schumann ; gedruckt bei Johann Wilhelm Schöne,"Schumann, August ; http://d-nb.info/gnd/100802583","Schöne, Johann Wilhelm ; http://d-nb.info/gnd/1050351487",1802,1802,"VI Seiten, 2 ungezählte Seiten, 248 Seiten",,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis:,"Seite [III]-VI: Vorrede des Herausgebers Felix Peregrin, Datum 1802",,ger,ita,Aus dem Italienischen übersetzt,,,"Peregrin, Felix ; http://d-nb.info/gnd/1157505074","Peregrin, Felix ; http://d-nb.info/gnd/1157505074",,,,,,Reisebericht,,,"Polo, Marco ; Edition ; Reise ; Konstantinopel ; Schwarzmeer-Gebiet ; Naher Osten ; Iran ; Zentralasien ; China",TravelogueD19 Asien ; TravelogueD19 Orient,,361977-B MAG,ZKAR,
AC04689892,AC04689892,990008284430603338,http://data.onb.ac.at/ABO/%2BZ43133503,Z43133503,"La Billardière, Jacques-Julien Houtou <<de>> ; http://d-nb.info/gnd/116635924",Relation du voyage à la recherche de La Peyrouse,,"<<La Billardiere's, Correspondenten der ehemaligen Akademie der Wissenschaften zu Paris und Mitglied der naturforschenden Gesellschaft daselbst,>> Reise nach dem Südmeer zur Aufsuchung des La Perouse, Commandanten der verlornen Schiffe Boussole und Astrolabe $ Auf Verordnung der französischen Regierung ausgeführt in den Jahren 1791 bis 1794 ; Nach dem Französischen im Auszug bearbeitet ; Nebst einer Einleitung über den Vorzug der neuern Reisemethoden vor denen der Alten. Mit 1 Kupfer und 1 Karte",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,Jn Kommission bey Anton Doll,"Doll, Anton ; http://d-nb.info/gnd/13282261X",,1804,1804,"251 Seiten, 2 ungezählte mehrfach gefaltete Blätter","1 Illustration, 1 Karte",1,1,8°,"Die Illustration ist 1 Kupferstich-Illustration als Frontispiz, 1 Kupferstich-Karte",Bibliografischer Nachweis:,,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,"La Pérouse, Jean-François de Galaup ; Vermisster ; Suche ; Expedition ; Geschichte 1791-1794 ; Bericht ; Pazifischer Ozean ; Expedition ; Geschichte 1791-1794 ; Bericht",TravelogueD19 Ozeanien,,364107-A MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC04815411,AC04815411,990008420500603338,http://data.onb.ac.at/ABO/%2BZ43138203,Z43138203,"Lajaille, André Charles <<de>> ; http://d-nb.info/gnd/1089777035",Voyage au Sénégal pendant les années 1784 et 1785,,"<<De la Jailles Französischen Seeoffiziers>> Reise nach Senegal und der abendländischen Küste Afrika's vom Vorgebürge Blanc bis an den Serralionefluß $ Ein Beitrag zur Erweiterung der Geographie, Schiffahrts- und Handlungskunde ; Nebst einem noch ungedruckten Aufsatz von Buffon über die Produkte Afrika's; und Labarthens Bemerkungen über die Lage dieser Küste bis zum Anfang des Jahrs 1802",,,Hamburg und Mainz,Hamburg ; http://d-nb.info/gnd/4023118-5 .- Mainz ; http://d-nb.info/gnd/4037124-4,,bei G. Vollmer,"Vollmer, Gottfried Dietrich Leberecht ; http://d-nb.info/gnd/139364951",,1802,1802,"VIII, 248 Seiten",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas, S. 264",Literatur- und Kartenverz. S. 156 - 158,,ger,fre,Aus dem Französischen übersetzt,,,,,,,,,,Reisebericht,,,Westafrika ; Schiffsreise ; Geschichte 1784-1785 ; Reisebericht,TravelogueD19 Afrika,,364128-A MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC06490136,AC06490136,990013407540603338,http://data.onb.ac.at/ABO/%2BZ86141109,Z86141109,"Fick, Johann Christian ; http://d-nb.info/gnd/10000492X",,,Meine neueste Reise zu Wasser und Land oder ein Bruchstück aus der Geschichte meines Lebens $ Von D. Johann Christian Fick. Mit zwei Kupfern,,,Erlangen,,,auf Kosten des Verfassers ; und n Kommission in der Gredy und Breuningschen Buchhandlung,Gredy und Breuningsche Buchhandlung ; http://d-nb.info/gnd/1037647807,,1807,1807,"LII, 308 Seiten, 1 ungezähltes Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt Bildtafel",2 Illustrationen,2,,8°,Die Illustrationen sind 1 Kupferstich-Illustration als Frontispiz (gestochen und signiert von G. Vogel) und 1 Faltblatt mit Kupferstich-Illustration,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 252",Seite IX-LII: Subskribentenverzeichnis,,ger,,,,,,,,,,,,Reisebericht,,,Deutschland ; Reisebericht ; Reise ; Deutschland ; Ostpreußen ; Geschichte 1806-1807,TravelogueD19 Europa,,364190-B MAG,ZKAR,
AC07586210,AC07586210,990016176430603338,http://data.onb.ac.at/ABO/%2BZ103513802,Z103513802,"Genersich, Johann ; http://d-nb.info/gnd/11654208X",,,Genialitäten $ [Johann Genersich],,,"Pannonien, das heißt Budapest",Budapest ; http://d-nb.info/gnd/4008684-7,,,,,1808,1808,"2 ungezählte Seiten, 94 Seiten",,,,8°,"Verfasser und Verlagsort nach KVK (SBB, SUDOC) ; Holzmann-Bohatta, Anonym II, 5915 gibt zusätzl. F. B. von Rakos und Franz von Boros als Verfasser an",,,,ger,,,,,,,,,,,,,,,Radna ; Wallfahrtskirche Radna ; Reise ; Deutsch ; Konversation ; Rhetorik ; Alphabet ; Satirische Prosa ; Deutsch ; Lyrik ; Geschichte 1808 ; Quelle,TravelogueD19 Europa,,309017-A MAG .- UNASSIGNED,ZALT ; ZALT,
AC07595122,AC07595122,990016186420603338,http://data.onb.ac.at/ABO/%2BZ103516001,Z103516001,"Frank, Joseph ; http://d-nb.info/gnd/118692682","Reise nach Paris, London, und einem grossen Theile des übrigen Englands und Schottlands in Beziehung auf Spitäler, Versorgungshäuser, übrige Armen-Institute, Medizinische Lehranstalten, und Gefängnisse",,"<<Dr. Joseph Frank's, öffentlichen Lehrers der Pathologie und allgemeinen Therapie auf der Kaiserlich Russischen Universität zu Wilna; wirklichen Mitgliedes des Collegiums der Ärzte in Venedig; correspondierenden Mitgliedes der Gesellschaft der Georgiofili in Florenz, der Wissenschaften und Künste in Strasburg, der medizinischen und Galvanischen Gesellschaft in Paris, der k. Gesellschaft der Arzte in London, der Sydenhamischen in Halle, u.s.w., Reise nach Paris, London, und einem grossen Theile des übrigen Englands und Schottlands in Beziehung auf Spitäler, Versorgungshäuser, übrige Armen-Institute, Medizinische Lehranstalten, und Gefängnisse",Erster Theil ; Mit einem Kupfer und sieben Tabellen,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,in der Camesinaischen Buchhandlung,Camesinaische Buchhandlung ; http://d-nb.info/gnd/5164178-1,,1804,1804,"8 ungezählte Seiten, 343 Seiten, VIII gefaltete Blätter",1 Illustration,1,,8°,1 Kupferstich-Illustration.  - Tabellen ; Fußnoten,Bibliografischer Nachweis:,Ungezählte Seite 3: Widmung des Verfassers an Karl von Harrach,,ger,,,,,,,,,,"Frank, Joseph ; http://d-nb.info/gnd/118692682","Harrach, Karl Borromäus <<von>> ; http://d-nb.info/gnd/116484411",,,,Paris ; Krankenhaus ; Geschichte 1803 ; Quelle ; Paris ; Sozialwesen ; Geschichte 1803 ; Quelle ; Paris ; Arzt ; Geschichte 1803 ; Quelle ; London ; Krankenhaus ; Geschichte 1803 ; Quelle ; London ; Sozialwesen ; Geschichte 1803 ; Quelle ; London ; Arzt ; Geschichte 1803 ; Quelle,TravelogueD19 Europa,,30.J.5.(Vol.1) PRUNK,ZALT,
AC07595152,AC07595152,990016186450603338,http://data.onb.ac.at/ABO/%2BZ103516104,Z103516104,"Frank, Joseph ; http://d-nb.info/gnd/118692682","Reise nach Paris, London, und einem grossen Theile des übrigen Englands und Schottlands in Beziehung auf Spitäler, Versorgungshäuser, übrige Armen-Institute, Medizinische Lehranstalten, und Gefängnisse",,"<<Dr. Joseph Frank's, öffentlichen Lehrers der Pathologie und allgemeinen Therapie auf der Kaiserlich Russischen Universität zu Wilna; wirklichen Mitgliedes der, die Hospicien in Litthauen dirigirenden Commission, und des Collegiums der Ärzte in Venedig; correspondirenden Mitgliedes der Gesellschaft der Georgiofili in Florenz, der Wissenschaften und Künste in Strasburg, der medizinischen und Galvanischen Gesellschaft in Paris, der k. Gesellschaft der Ärzte in London, der Sydenhamischen in Halle, u.s.w.>> Reise nach Paris, London, und einem grossen Theile des übrigen Englands und Schottlands in Beziehung auf Spitäler, Versorgungshäuser, übrige Armen-Institute, Medizinische Lehranstalten, und Gefängnisse",Zweiter Theil,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,,in der Camesinaischen Buchhandlung,Camesinaische Buchhandlung ; http://d-nb.info/gnd/5164178-1,,1805,1805,"4 ungezählte Seiten, 362 Seiten",,,,,Kein illustrierender Inhalt. - Tabellen ; Fußnoten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Ungezählte Seite 3-Seite 2: Widmungsvorrede des Verfassers an Tadeusz Czacki, Datum Wilna 14/12. 03.1805",Literaturangaben,ger,,,,,,,,,,"Frank, Joseph ; http://d-nb.info/gnd/118692682","Czacki, Tadeusz ; http://d-nb.info/gnd/103517502 .- Czacki, Tadeusz ; http://d-nb.info/gnd/103517502",,,,Großbritannien ; Krankenhaus ; Geschichte 1803 ; Quelle ; London ; Sozialwesen ; Geschichte 1803 ; Quelle ; London ; Arzt ; Geschichte 1803 ; Quelle,TravelogueD19 Europa,,30.J.5.(Vol.2) PRUNK,ZALT,
AC08001140,AC08001140,990017962010603338,"http://data.onb.ac.at/ABO/%2BZ161340709;
http://data.onb.ac.at/ABO/%2BZ95563707","Z161340709;
Z95563707","Klingemann, Ernst August Friedrich ; http://d-nb.info/gnd/118563300",,,Kunst und Natur $ Blätter aus meinem Reisetagebuche $ Von August Klingemann,Erster Band,,Braunschweig,Braunschweig ; http://d-nb.info/gnd/4008065-1,,bei G. C. E. Meyer,"Meyer, G. C. E. ; http://d-nb.info/gnd/1037554302",,1819,1819,"1 ungezähltes Blatt, 1 ungezähltes Blatt mit Bildtafel, 474 Seiten",1 Illustration,1,,8°,"1 gestochenes Porträt als Frontispiz (gestochen und signiert von J. C. Böhme, gezeichnet von Tunica). - Kupfertitel ; Fußnoten ; einfache Zierleisten","Bibliografischer Nachweis: Engelmann, 255 ; Bibliografie Reiseliteratur Eutin",,,ger,,In Fraktur,,,,,,,"Tunica, Christian ; http://d-nb.info/gnd/117438553 .- Böhme, Johann Christian ; http://d-nb.info/gnd/123018498",,,Reisebericht,,,"Klingemann, Ernst August Friedrich ; Deutschland ; Bildungsreise ; Reisebericht 1817-1819 ; Deutsches Sprachgebiet ; Theater ; Geschichte 1817-1819 ; Quelle",TravelogueD19 Europa,,309224-B.1 MAG .- 5699-B.1 MAG .- UNASSIGNED,ZALT ; ZALT ; ZALT,
AC03211403,AC03211403,990027211590603338,,,"Zschokke, Heinrich ; http://d-nb.info/gnd/118637266",,,Reise auf die Eisgebirge des Kantons Bern und Ersteigung ihrer höchsten Gipfel im Sommer 1812 $ Mit einer Karte der bereisten Gletscher $ [nach Mittheilungen des Herrn Dr. [Johann] Rudolf Meyer verfasst von Zschokke],,,Aarau,Aarau ; http://d-nb.info/gnd/4000018-7,,bein Heinrich Remigius Sauerländer,"Sauerländer, Heinrich Remigius ; http://d-nb.info/gnd/119138425",,1813,1813,"45 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,8°,"Mit 1 Kupferstich-Karte (""Karte zur Reise auf die Eisgebirge des Kantons Bern"", geteichnet und gestochen von J. J. Scheurman)",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,Seite [3]-4: Vorbemerkung des Verfassers Heinrich Zschokke. - Auf Seite 45 Vermerk des Verlegers Heinrich Remigius Sauerländer,,ger,,,,,,,"Sauerländer, Heinrich Remigius ; http://d-nb.info/gnd/119138425",,,,,,,,Besteigung ; Geschichte 1812 ; Berner Alpen ; Berner Alpen ; Expedition ; Geschichte 1812,TravelogueD19 Europa,,1227602-B MAG .- 289848-B MAG,ZKAR ; ZFID,
