Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Illustrationen not dig,Foldouts,Foldouts not dig,Karten not dig,Kommentar,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC03125444,9958526864003338,"http://data.onb.ac.at/ABO/%2BZ155179504;
https://resolver.obvsg.at/urn:nbn:at:at-moz:2-68173","Z155179504;
urn:nbn:at:at-moz:2-68173","Keyssler, Johann Georg ; http://d-nb.info/gnd/104318511","Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweiz, Italien und Lothringen",,"<<Johann Georg Keyßlers, der Königlich Großbrittannischen Societät der Wissenschaften Mitgliedes,>> Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweiz, Jtalien und Lothringen $ worinnen der Zustand und das Merkwürdigste dieser Länder beschrieben und vermittelst der Natürlichen, Gelehrten und Politischen Geschichte, der Mechanik, Maler=, Bau- und Bildhauerkunst, Münzen und Alterthümer, wie auch mit verschiedenen Kupfern erläutert wird",Zweyte Abtheilung,"Neue und vermehrte Auflage, welche mit Zusätzen und mit einer Vorrede von dem Leben des Verfassers begleitet hat M. Gottfried Schütze. Königlich Dänischer Consistorial=Assessor, des Pädagogii zu Altona Rector, der Königl. Preuß. Akademie wie auch der Königlich Dänischen Societät der Wissenschaften Mitglied",Hannover,Leipzig ; http://d-nb.info/gnd/4035206-7 .- Hannover ; http://d-nb.info/gnd/4023349-2,Leipzig ; http://d-nb.info/gnd/4035206-7,Jm Verlage sel. Nicolai Försters und Sohns Erben Hof=Buchhandlung ; gedruckt bey Johann Gottlob Jmmanuel Breitkopf,Nikolaus Förster Erben ; http://d-nb.info/gnd/6146572-0,"Breitkopf, Johann Gottlob Immanuel ; http://d-nb.info/gnd/118809873 .- Breitkopf ; http://d-nb.info/gnd/16118087-5",1751,1751,"5 ungezählte Seiten, Seite 732 - 1556, 64 ungezählte Seite, 5 ungezählte Blätter Bildtafeln (zum Teil gefaltet)",5 Illustrationen,5,,2,2,2,0,0,4°,Die Illustrationen umfassen 1 gestochenes Porträt als Frontispiz und 4 Kupferstichillustrationen. - Holzschnitt-Vignetten und Initialen im Text ; Gedruckte Marginalien,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0689 ; Tresoldi, 38",,,ger,,,VD18 10196951 ; urn:nbn:at:at-moz:2-68173,,,,,"Schütze, Gottfried ; http://d-nb.info/gnd/104088281","Boetius, Christian Friedrich ; http://d-nb.info/gnd/116225807 .- Schmidt, Johann Georg ; http://d-nb.info/gnd/122090357 .- Fritsch, Christian ; http://d-nb.info/gnd/130126004",,,Reisebericht ; Briefsammlung,,,Bildungsreise ; Mitteleuropa ; Geschichte 1729-1731,TravelogueD18 Europa,,49.G.6.(Vol.2) PRUNK,ZALT,VD18 10196951 ; urn:nbn:at:at-moz:2-68173
AC03125437,9958526864103338,"http://data.onb.ac.at/ABO/%2BZ155179401;
https://resolver.obvsg.at/urn:nbn:at:at-moz:2-68134","Z155179401;
urn:nbn:at:at-moz:2-68134","Keyssler, Johann Georg ; http://d-nb.info/gnd/104318511","Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweiz, Italien und Lothringen",,"<<Johann Georg Keyßlers, der Königlich Großbrittannischen Societät der Wissenschaften Mitgliedes,>> Neueste Reisen durch Deutschland, Böhmen, Ungarn, die Schweiz, Jtalien und Lothringen, $ worinnen der Zustand und das Merkwürdigste dieser Länder beschrieben, und vermittelst der Natürlichen, Gelehrten und Politischen Geschichte, der Mechanik, Maler=, Bau= und Bildhauerkunst, Münzen und Alterthümer, wie auch mit verschiednene Kupfern erläutert wird",[Erste Abtheilung],"Neue und vermehrte Auflage, welche mit Zusätzen und mit einer Vorrede von dem Leben des Verfassers begleitet hat M. Gottfried Schütze Königlich Dänischer Consistorial-Assessor, des Pädagogii zu Altona Rector, der Königl. Preuß. Akademie wie auch der Königl. Dänischen Societät der Wissenschaften Mitglied",Hannover,Hannover ; http://d-nb.info/gnd/4023349-2,,Jm Verlage sel. Nicolai Försters und Sohns Erben Hof=Buchhandlung,Nikolaus Förster Erben ; http://d-nb.info/gnd/6146572-0,,1751,1751,"12 ungezählte Seiten, LXXVIII, 728 Seiten, 3 ungezählte Blätter Bildtafeln, 2 ungezählte gefaltete Blätter Bildtafeln","4 Illustrationen, 1 Karte",4,1,2,2,2,0,0,4°,"Die Illustrationen sind gestochenes Porträt als Frontispiz (gestochen und signiert von Christian Fritzsen, 1751), 3 Kupferstichillustrationen, 1 Kupferstich-Karte. - Holzschnitt-Vignetten und Initialen im Text ; Gedruckte Marginalien","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0689 ; Tresoldi, 38","Blatt *2a-*3a: Kaiserliches Privileg, gezeichnet von Matthias Wilhelm Haan, Datum 1751. - Blatt *3b-*4b: Königlich Polnisches und Sächsisches Privileg, gezeichnet von L. G. Graf von Holzendorf, Datum 08.04.1750. - Blatt *5a-b4b: Widmungsvorrede des Herausgebers Gottfried Schütze an Johann Hartwig Ernst von Bernstorf, Datum Altona 25.03.1751. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Königl. Poln. und Churfürstl. Sachs. allergnädigster Freyheit. Hannover, 1751. Jm Verlage sel. Nicolai Försters und Sohns Erben Hof=Buchhandlung",,ger,,,VD18 10196951 ; urn:nbn:at:at-moz:2-68134,,,,,"Schütze, Gottfried ; http://d-nb.info/gnd/104088281","Boetius, Christian Friedrich ; http://d-nb.info/gnd/116225807 .- Schmidt, Johann Georg ; http://d-nb.info/gnd/122090357 .- Fritsch, Christian ; http://d-nb.info/gnd/130126004","Schütze, Gottfried ; http://d-nb.info/gnd/104088281","Bernstorff, Johann Hartwig Ernst <<von>> ; http://d-nb.info/gnd/11614775",Reisebericht ; Briefsammlung,,,Bildungsreise ; Mitteleuropa ; Geschichte 1729-1731,TravelogueD18 Europa,,,,VD18 10196951 ; urn:nbn:at:at-moz:2-68134
AC15245371,9958529656703338,"http://data.onb.ac.at/ABO/%2BZ223946108;
http://data.onb.ac.at/ABO/%2BZ97797709","Z223946108;
Z97797709","Gmelin, Johann Georg ; http://d-nb.info/gnd/11903705X",Reise durch Sibirien,,<<D. Johann Georg Gmelins der Chemie und Kräuterwissenschafft auf der hohen Schule zu Tübingen öffentlichen Lehrers>> Reise durch Sibirien von dem Jahr 1733. bis 1743.,Erster Theil ; [1733-1735],,Göttingen,Göttingen ; http://d-nb.info/gnd/4021477-1,Göttingen ; http://d-nb.info/gnd/4021477-1,"verlegts Vandenhoecks seel., Wittwe","Vandenhoeck, Anna ; http://d-nb.info/gnd/118997955","Vandenhoeck, Anna ; http://d-nb.info/gnd/118997955",1751,1751,"28 ungezählte Seiten, 467 Seiten, 3 ungezählte Blätter, 1 ungezähltes mehrfach gefaltetes Blatt Karte","3 Illustrationen, 1 Karte",3,1,0,1,0,0,0,8°,"Die Illustrationen sind 1 Kupferstich-Karte  (Karte des Russischen Reiches, gestochen von A. Reinhardt) und 2 Kupferstichillustrationen, 1 Diagramm. - Holzschnitt-Vignetten, Initialen im Text ; Fußnoten","Bibliografischer Nachweis: VD18 90272285 ; Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0501 ; Engelmann 157 ; Stuck I, 580","Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Göttingen, verlegts Abram Vandenhoecks seel. Wittwe 1751. mit allergnädigstem Privileg",,ger,,,VD18 90272285,,,,,,"Reinhardt, Andreas ; http://d-nb.info/gnd/124465382",,,Reisebericht,,,Forschungsreise ; Sibirien ; Geschichte 17433-1743,TravelogueD18 Asien,,29.Y.7.(Vol.1) MAG .- 251276-B.4 MAG .- 361.900-B.Kar- UNASSIGNED .- UNASSIGNED,ZALT ; ZFID ; ZKAR ; ZFID,VD18 90272285
AC13023967,990048834290603338,http://data.onb.ac.at/ABO/%2BZ223946406,Z223946406,"Gmelin, Johann Georg ; http://d-nb.info/gnd/11903705X",Reise durch Sibirien,,"<<D. Johann Georg Gmelins der Chemie und Kräuterwissenschaft auf der hohen Schule zu Tübingen öffentlichen Lehrers,>> Reise durch Sibirien,",Vierter Theil ; von dem Jahr 1740 bis 1743. Mit Kupfern,,Göttingen,Göttingen ; http://d-nb.info/gnd/4021477-1,Göttingen ; http://d-nb.info/gnd/4021477-1,verlegts Abram Vandenhoecks seel. Wittwe,"Vandenhoeck, Anna ; http://d-nb.info/gnd/118997955 .- Universitäts-Buchhandlung ; http://d-nb.info/gnd/6145925-2","Vandenhoeck, Anna ; http://d-nb.info/gnd/118997955 .- Universitäts-Buchhandlung ; http://d-nb.info/gnd/6145925-2",1752,1752,"4 ungezählte Seiten, 692 Seiten, 8 ungezählte Seiten, 3 ungezählte gefaltete Blätter, 1 ungezähltes gefaltetes Blatt","3 Illustrationen, 1 Karte",3,1,0,3,0,0,Foldouts digitalisiert,8°,"Die Illustrationen sind 1 Kupferstich-Karte (Karte von Nordsibirien, gestochen von Johann Eberhard Alber),  2 Kupferstich-Pläne und 1 Diagramm. - Holzschnitt-Vignetten ; Tabellen ; Fußnoten","Bibliografischer Nachweis: VD18 90273850  ; Griep, Reiseliteratur und Geographica, 0501 ; Bibliografie Reiseliteratur Eutin ; Stuck I, 580 ; Engelmann, 157","Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: Mit Römisch Kayserl. auch Königl. Pohl. und Churf. Sächs. allergnädigsten Privilegiis. Göttingen, verlegts Abram Vandenhoecks seel. Wittwe, 1752.",,ger,,,VD18 90273850,,,,,,"Alber, Johann Eberhard ; http://d-nb.info/gnd/103762280",,,Reisebericht,,,Forschungsreise ; Sibirien ; Geschichte 17433-1743,TravelogueD18 Asien,,29.Y.7.(Vol.4) MAG .- 361.900-B.Kar- UNASSIGNED .- UNASSIGNED,ZALT ; ZKAR ; ZFID,VD18 90273850
AC15245372,9958529656603338,"http://data.onb.ac.at/ABO/%2BZ223946509;
http://data.onb.ac.at/ABO/%2BZ97797801","Z223946509;
Z97797801","Gmelin, Johann Georg ; http://d-nb.info/gnd/11903705X",Reise durch Sibirien,,"<<D. Johann Georg Gmelins der Chemie und Kräuterwissenschaft auf der hohen Schule zu Tübingen öffentlichen Lehrers,>> Reise durch Sibirien",Zweyter Theil ; [1735-1737],,Göttingen,Göttingen ; http://d-nb.info/gnd/4021477-1,Göttingen ; http://d-nb.info/gnd/4021477-1,"verlegts Vandenhoecks seel., Wittwe","Vandenhoeck, Anna ; http://d-nb.info/gnd/118997955 .- Universitäts-Buchhandlung ; http://d-nb.info/gnd/6145925-2","Vandenhoeck, Anna ; http://d-nb.info/gnd/118997955 .- Universitäts-Buchhandlung ; http://d-nb.info/gnd/6145925-2",1752,1752,"36 ungezählte Seiten,  652 Seiten, 4 ungezählte gefaltete Blätter Bildtafeln, 1 ungezähltes Blatt Bildtafel, 1 ungezähltes mehrfach gefaltetes Blatt Karte","5 Illustrationen, 1 Karte",5,1,0,5,0,0,Foldouts in 1 Exemplar digitalisiert,8°,Die Illustrationen sind 1 Kupferstich-Karte (Karte von Westsibirien) und 5 Kupferstich-illustrationen. - Holzschnitt-Vignetten ; Initialen und Fußnoten ; Tabellen,"Bibliografischer Nachweis: VD18 90272293 ; Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0501 ; Engelmann, 157 ; Stuck I, 580","Ungezählte Seite 5-6: Kaiserliches Privileg Franz I., gezeichnet von Matth. Wilhelm Haan. - Ungezählte Seite 7-36: Vorrede des Verfassers, Datum Tübingen 31.01.1752. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: mit Römisch Kayserl. auch Königl. Pohl. und Churf. Sächs. allergnädigsten Privilegiis. Göttingen, verlegts Abram Vandenhoecks seel., Wittwe. 1752.",,ger,,,VD18 90272293,,,,,,,,,Reisebericht,,,Forschungsreise ; Sibirien ; Geschichte 17433-1743,TravelogueD18  Asien,,29.Y.7.(Vol.2) MAG .- 251276-B.5 MAG .- 361.900-B.Kar- UNASSIGNED .- UNASSIGNED,ZALT ; ZFID ; ZKAR ; ZFID,VD18 90272293
AC15245380,9958529656503338,http://data.onb.ac.at/ABO/%2BZ223946303,Z223946303,"Gmelin, Johann Georg ; http://d-nb.info/gnd/11903705X",Reise durch Sibirien,,"<<D. Johann Georg Gmelins der Chemie und Kräuterwissenschaft auf der hohen Schule zu Tübingen öffentlichen Lehrers,>> Reise durch Sibirien,",Dritter Theil ; von dem Jahr 1738 bis zu Ende 1740,,Göttingen,Göttingen ; http://d-nb.info/gnd/4021477-1,Göttingen ; http://d-nb.info/gnd/4021477-1,verlegts Abram Vandenhoecks seel. Wittwe,"Vandenhoeck, Anna ; http://d-nb.info/gnd/118997955","Vandenhoeck, Anna ; http://d-nb.info/gnd/118997955",1752,1752,"24 ungezählte Seiten, 584 Seiten, 8 ungezählte Blätter, 1 ungezähltes mehrfach gefaltetes Blatt Karte","6 Illustrationen, 1 Karte,  1 Notenbeispiel",6,1,0,1,0,0,0,8°,"Die Illustrationen sind 1 Kupferstich-Karte (Karte von Irkutsk/ Mittelsibirien, gestochen von J. Haas, Hamburg) und 6 Kupferstich-illustrationen. - Holzschnitt-Vignetten ; Initialen und Fußnoten","Bibliografischer Nachweis: VD18 90272374 ; Griep, Reiseliteratur und Geographica, 0501 ; Bibliografie Reiseliteratur Eutin ; Stuck I, 580 ; Engelmann, 157","Ungezählte Seite 5-6: Kaiserliches Privileg von Franz I., gezeichnet von Matth. Wilhelm Haan. - Ungezählte Seite 7-24: Vorrede. - Vorlageform der Veröffentlichungsangabe auf dem Titelblatt mit Privileg: mit Römisch Kayserl. auch Königl. Pohl. und Churf. Sächs. allergnädigsten Privilegiis. Göttingen, verlegts Abram Vandenhoecks seel. Wittwe, 1752.",,ger,,,VD18 90272374,,,,,,"Haas, Jonas ; http://d-nb.info/gnd/130062936",,,Reisebericht,,,Forschungsreise ; Sibirien ; Geschichte 17433-1743,TravelogueD18 Asien,,29.Y.7.(Vol.3) MAG .- 251276-B.6 MAG .- 361.900-B.Kar- UNASSIGNED .- UNASSIGNED,ZALT ; ZFID ; ZKAR ; ZFID,VD18 90272374
AC15250780,9958532580203338,http://data.onb.ac.at/ABO/%2BZ17658070X,Z17658070X,"Le Beau, Claude ; http://d-nb.info/gnd/122132882","Aventures du Sr. C. Le Beau, Advocat en Parlament, ou Voyage curieux et nouveau ; 1738",,"<<Des Hrn. Claudii Le Beau Parlements=Advocaten zu Paris>> Neue Reise unter die Wilden in Nord=America; $ oder merkwürdige Nachricht von den Gebräuchen und Sitten dieser Völker, nebst der Beschreibung seiner sonderbaren Begebenheiten: mit Kupfern und Landkarte $ in das Deutsche übersetzt von Johann Bernhard Nack",Zweyter Theil,,Frankfurt und Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7 .- Frankfurt am Main ; http://d-nb.info/gnd/4018118-2,,bey den Gebrüdern van Düren,Gebrüder van Düren ; http://d-nb.info/gnd/6146539-2,,1752,1752,"2 ungezählte Seite, 504 Seiten, 2 ungezählte Seiten, 3 ungezählte gefaltete Blätter Bildtafeln",3 Illustrationen,3,,3,3,3,0,0,8°,Die Illustrationen umfassen 3 Kupferstichillustrationen. - Kupferstich-Vignette auf dem Titelblatt ; Typographische Vignetten ; Initialen ; Fußnoten,"Bibliografischer Nachweis: Stuck I, 89 ; Sabin, 39584 ; Bibliografie Reiseliteratur Eutin",,,ger,fre,Aus dem Französischen übersetzt,,,,"Nack, Johann Bernhard",,,,,,Erlebnisbericht ; Reisebericht,,,Nordamerika ; Reise ; Nordamerika ; Indianer ; Brauchtum,TravelogueD18 Nordamerika,,47.L.4.(Vol.2) PRUNK,ZALT,
AC15250767,9958532580303338,http://data.onb.ac.at/ABO/%2BZ176580607,Z176580607,"Le Beau, Claude ; http://d-nb.info/gnd/122132882","Aventures du Sr. C. Le Beau, Advocat en Parlament, ou Voyage curieux et nouveau ; 1738",,"<<Des Hrn. Claudii Le Beau Parlements=Advocaten zu Paris>> Neue Reise unter die Wilden in Nord=America; $ oder merkwürdige Nachricht von den Gebräuchen und Sitten dieser Völker, nebst der Beschreibung seiner sonderbaren Begebenheiten: mit Kupfern und Landkarte $ in das Deutsche übersetzt von Johann Bernhard Nack",Erster Theil,,Frankfurt und Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7 .- Frankfurt am Main ; http://d-nb.info/gnd/4018118-2,,bey den Gebrüdern van Düren,Gebrüder van Düren ; http://d-nb.info/gnd/6146539-2,,1752,1752,"12 ungezählte Seiten, 415 Seiten, 4 ungezählte gefaltete Blätter Bilftafeln","3 Illustrationen, 1 Karte",3,1,3,4,4,1,0,8°,Die Illustrationen umfassen 3 Kupferstichillustrationen und 1 gestochene Karte. - Kupferstich-Vignette auf dem Titelblatt. - Typografische Zierleisten ; Initialen ; Fußnoten,"Bibliografischer Nachweis: Stuck I, 89 ; Sabin, 39584 ; Bibliografie Reiseliteratur Eutin",Ungezählte Seite 3-8: Vorrede des Herausgebers. - Ungezählte Seite 9-12: Vorbericht des Übersetzers Johann Bernhard Nack,,ger,fre,Aus dem Französischen übersetzt,,,,"Nack, Johann Bernhard",,,,,,Erlebnisbericht ; Reisebericht,,,Nordamerika ; Reise ; Nordamerika ; Indianer ; Brauchtum,TravelogueD18 Nordamerika,,47.L.4.(Vol.1) PRUNK,ZALT,
AC03086246,990004402720603338,http://data.onb.ac.at/ABO/%2BZ42111500,Z42111500,Emericus ; Halensis ; http://d-nb.info/gnd/100121454,,,"Sieben=Jährige Wanderschafft $ Das ist: Kurtze/ und wahrhaffte Beschreibung Der Sieben=Jährigen Visitations-Reyß R.mi P. Hartmanni Brixinensis Des gantzen Capuciner=Ordens Weiland gewesten Ministri Generalis, Durch Spanien/ Franckreich/ Niederland/ Teutsch= und Welschland: Worinn Nebst denen vornehmsten Städten und Landschafften in Europa, vil rare Merckwürdigkeiten/ und seltsame Zufäll/ wie auch die Gewohnheiten verschidener Nationen enthalten seynd/ Verfasset und zusamm getragen von erwehntem Rmi. P. Generalis gewesenen Socio und Teuts. Secretario, R. P. Emerico Halenis, Tyrol. Prov. Definitore,  Nun aber Zu gemeiner Bequemlichkeit/ und nutzbaren/ auch ergötzlichen Zeit=Vertreibung/ auf vilfältig= und sehnliches Anverlangen in offentlichen Druck hervorgegeben. Mit Genehmigung deren Oberen",,,Ynsbrugg,Innsbruck. ; http://d-nb.info/gnd/4027096-8,,gedruckt bey Michael Anton Wagner,"Wagner, Michael Anton ; http://d-nb.info/gnd/1037552229","Wagner, Michael Anton ; http://d-nb.info/gnd/1037552229",1753,1753,"20 ungezählte Seiten, 232 Seiten, 12 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,0,0,0,0,0,4°,Die Illustration ist gestochenes Frontispiz (Porträt). - Titelblatt in Rot- und Schwarzdruck ; Holzschnitt-Vignetten im Text,Bibliografischer Nachweis: VD18 1529952X. - Ermericus Halensis ist Emmerich Fischer,"Vorlageform der Veröffentlichungsangabe: Ynsbrugg, gedruckt bey Michael Anton Wagner, Hof- und Universit. Buchdruckern u. Handl. Anno 1753. - Ungezählte Seite 3-12: Widmungsvorrede des Verfassers an Eleonora Maria von Arco",,ger,,In Fraktur,VD18 1529952X,,,,,,"Klauber, Joseph Sebastian ; http://d-nb.info/gnd/118828363",,"Arco, Maria Eleonora <<von>>",Reisebericht,,,Hartmannus ; Kapuziner ; Europa ; Visitation ; Reise ; Erlebnisbericht ; Geschichte 1753 ; Quelle ; Kapuziner ; Kapuziner ; Kapuziner ; Kapuziner ; Kapuziner ; Kapuziner ; Kapuziner ; Kapuziner ; Visitation ; Bericht,TravelogueD18 Europa,,305627-B MAG,ZALT,VD18 1529952X
AC03768924,990005739250603338,http://data.onb.ac.at/ABO/%2BZ59404806,Z59404806,"Horrebow, Niels ; http://d-nb.info/gnd/1055308393",Tilforladelige efterretninger om Island ; http://viaf.org/viaf/308635214,,<<N. Horrebows>> Zuverläsige Nachrichten von Jsland $ nebst einer neuen Landkarte und 2. Jährl. Meterologische Anmerkungen $ aus dem Dänischen übers.,,,Copenhagen u. Leipzig ; Leipzig,Kopenhagen ; http://d-nb.info/gnd/4032399-7 .- Leipzig ; http://d-nb.info/gnd/4035206-7,,bey Friedrich Christian Pelt,"Pelt, Friedrich Christian ; http://d-nb.info/gnd/1037499514",,1753,1753,"28 ungezählte Seiten, 516 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,0,1,1,1,0,8°,1 gestochene Karte. - Kupfertitel ; Holzschnitt-Vignetten im Text ; Tabellen,"Bibliografischer Nachweis: Bibl. Danica 3, 617 ; Bibliografie Reiseliteratur Eutin","Ungezählte Seite 3-8: Widmungsvorrede des Verfassers an Friedrich V., König von Dänemark, Datum Kopenhagen 29.07.1752. - Ungezählte Seite 9-20: Vorrede des Verfassers","Signaturformel: )(8, )()(4, )()()(2, A-Z8, Aa-Jj8, Kk2",ger,dan,Aus dem Dänischen übersetzt,,,,,,,,"Horrebow, Niels ; http://d-nb.info/gnd/1055308393",Friedrich ; http://d-nb.info/gnd/11954931X,Reisebericht,,,Island ; Reise ; Geschichte 1751-1752 ; Island ; Landeskunde ; Island ; Meteorologie,TravelogueD18 Europa,,364050-A MAG,ZKAR,
AC10153764,990033164450603338,http://data.onb.ac.at/ABO/%2BZ255430508,Z255430508,"Neitzschitz, Georg Christoph <<von>> ; http://d-nb.info/gnd/128457392","Sieben-Jährige und gefährliche WeltBeschauung Durch die vornehmsten Drey Theil der Welt Europa, Asia und Africa",,"<<George Christoph von Neitzschitzens, weiland Erb= und Gerichts=Herrn auf Stöckelberg, Wöhlitz und Zörbitz,>> Merckwürdige Reisen/ So Derselbe durch Europa/ Asien und Africa seiner Zeit gethan, $ Dabey nicht nur Die Beschaffenheit derer Länder/ sondern auch viele andere besondere Begebenheiten angemercket werden ; Auf vieler Kenner und Liebhaber wiederholtes Verlangen itzt Mit beygefügten nöthigen Kupffern und vollständigem Register versehen, und aufs neue zum Druck befördert durch Gottfried Vettern, Buchdrucker",,,Magdeburg,Magdeburg ; http://d-nb.info/gnd/4036934-1,Magdeburg ; http://d-nb.info/gnd/4036934-1,gedruckt auf eigene Kosten und Verlag,"Vetter, Gottfried ; http://d-nb.info/gnd/103766051X","Vetter, Gottfried ; http://d-nb.info/gnd/103766051X",1753,1753,"6 ungezählte Seiten, 320 Seiten, 24 ungezählte Seiten, 11 ungezählte Blätter Bildtafeln, 4 ungezählte gefaltete Blätter Bildtafeln","15  Illustrationen, 1 Karte",15,1,4,4,4,1,0,4°,"Die Illustrationen umfassen ein gestochenes Frontispiz (signiert von J. G. Krügner), 14 Kupferstich- und Holzschnitt-Illustrationen (teilweise signiert von J. G. Krügner) und 1 Kupferstich-Karte. - Holzschnitt-Vignetten ; Titelblatt in Rot- und Schwarzdruck","Bibliografischer Nachweis: VD18 11045264 ; Stagl 2002, 195-201. - Jahre der Reisen nach ADB 23 (1886)","Vorrede an den Leser von Gottfried Vetter, Datum Magdeburg 16.04.1753. - Vorrede an den Leser von Christoph Jäger von Schleuditz, Datum Meissen 01.06.1666","Signaturformel: )(3, A-Z4, Aa-Tt4",ger,,,VD18 11045264,,"Vetter, Gottfried ; http://d-nb.info/gnd/103766051X",,,,"Krügner, J. G.",,,Reisebericht,,,Reise ; Osmanisches Reich ; Österreich ; Oberitalien ; Südosteuropa ; Konstantinopel ; Geschichte 1630-1631 ; Reise ; Ungarn ; Südosteuropa ; Konstantinopel ; Geschichte 1634 ; Reise ; Oberitalien ; Mittelmeerraum ; Ägypten ; Jerusalem ; Palästina ; Geschichte 1636-1637 ; Orient,TravelogueD18 Europa Asien Afrika ; TravelogueD18 Orient,,394082-B MAG,ZKAR,VD18 11045264
AC15228105,9958526868503338,http://data.onb.ac.at/ABO/%2BZ164596703,Z164596703,"Uffenbach, Zacharias Konrad <<von>> ; http://d-nb.info/gnd/118803107","Merkwürdige Reisen durch Niedersachsen, Holland und Engelland",,"<<Herrn Zacharias Conrad von Uffenbach>> Merkwürdige Reisen durch Niedersachsen, Holland und Engelland",Zweyter Theil,,Franckfurt und Leipzig,Frankfurt am Main ; http://d-nb.info/gnd/4018118-2 .- Leipzig ; http://d-nb.info/gnd/4035206-7 .- Ulm ; http://d-nb.info/gnd/4061529-7,Ulm ; http://d-nb.info/gnd/4061529-7,"Gedruckt, bey Christian Ulrich Wagner","Wagner, Christian Ulrich ; http://d-nb.info/gnd/118628224","Wagner, Christian Ulrich ; http://d-nb.info/gnd/118628224",1753,1753,"4 ungezählte Seiten, 604 Seiten, 9 ungezählte gefaltete Blätter",9  Illustrationen,9,,9,9,9,0,0,8°,Die Illustrationen sind 9 Kupferstichillustrationen. - Titel-Vignette (Holzschnitt) ; Holzschnitt-Vignetten im Text,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Schmitt, Drucker der Wagnerschen Buchdruckerei, Nr. 660. - Frankfurt und Leipzig sind Messorte","Ungezählte Seite 3: Avertissement des Verlegers, Datum Ulm 26.08.1753","Signaturformel: [2], A-Z8, Aa-Mm8, Pp6",ger,,,,,,,"Schelhorn, Johann Georg ; http://d-nb.info/gnd/119462761",,,,,Reisebericht,,,England ; Reise ; Geschichte 1709-1711 ; Holland ; Reise ; Geschichte 1709-1711 ; Niedersachsen ; Reise ; Geschichte 1709-1711,TravelogueD18 Europa,,48.L.11.(Vol.2) PRUNK,ZALT,
